,DATE,DAY,MONTH,YEAR,EVENTS
0,6_25_2018,25,June,2018,"['Beginning of university year', 'Beginning of summer term - classes begin']"
1,7_4_2018,4,July,2018,['Academic holiday - Independence Day Observed']
2,7_9_2018,9,July,2018,['End of second week of instruction']
3,7_16_2018,16,July,2018,['End of third week of instruction - Census date']
4,8_13_2018,13,August,2018,['End of seventh week of instruction']
5,8_31_2018,31,August,2018,['Last day of classes for 10-week session']
6,9_3_2018,3,September,2018,['Academic Holiday-Labor Day']
7,9_4_2018,4,September,2018,"['Final examination period for 10-week session', 'End of summer term']"
8,9_5_2018,5,September,2018,"['Final examination period for 10-week session', 'End of summer term']"
9,9_6_2018,6,September,2018,"['Final examination period for 10-week session', 'End of summer term']"
10,9_7_2018,7,September,2018,['Academic holiday']
11,9_8_2018,8,September,2018,['Academic holiday']
12,9_9_2018,9,September,2018,['Academic holiday']
13,9_10_2018,10,September,2018,['Academic holiday']
14,9_11_2018,11,September,2018,['Academic holiday']
15,9_12_2018,12,September,2018,['Academic holiday']
16,9_13_2018,13,September,2018,['Beginning of fall term (faculty only)']
17,9_20_2018,20,September,2018,['Fall term classes begin']
18,10_3_2018,3,October,2018,['End of second week of instruction']
19,10_10_2018,10,October,2018,['End of third week of instruction - Census date']
20,11_7_2018,7,November,2018,['End of seventh week of instruction']
21,11_12_2018,12,November,2018,['Academic holiday - Veterans Day Observed']
22,11_19_2018,19,November,2018,['Academic holiday - Thanksgiving']
23,11_20_2018,20,November,2018,['Academic holiday - Thanksgiving']
24,11_21_2018,21,November,2018,['Academic holiday - Thanksgiving']
25,11_22_2018,22,November,2018,['Academic holiday - Thanksgiving']
26,11_23_2018,23,November,2018,['Academic holiday - Thanksgiving']
27,11_24_2018,24,November,2018,['Academic holiday - Thanksgiving']
28,11_25_2018,25,November,2018,['Academic holiday - Thanksgiving']
29,12_7_2018,7,December,2018,['Last day of classes']
30,12_8_2018,8,December,2018,['Common final exams (optional)']
31,12_10_2018,10,December,2018,['Final examination period']
32,12_11_2018,11,December,2018,['Final examination period']
33,12_12_2018,12,December,2018,['Final examination period']
34,12_13_2018,13,December,2018,['Final examination period']
35,12_14_2018,14,December,2018,['Final examination period']
36,12_15_2018,15,December,2018,"['Mid-Year Commencement, End of fall term']"
37,12_16_2019,16,December,2019,['Academic holiday']
38,12_17_2019,17,December,2019,['Academic holiday']
39,12_18_2019,18,December,2019,['Academic holiday']
40,12_19_2019,19,December,2019,['Academic holiday']
41,12_20_2019,20,December,2019,['Academic holiday']
42,12_21_2019,21,December,2019,['Academic holiday']
43,12_22_2019,22,December,2019,['Academic holiday']
44,12_23_2019,23,December,2019,['Academic holiday']
45,12_24_2019,24,December,2019,['Academic holiday']
46,12_25_2019,25,December,2019,['Academic holiday']
47,12_26_2019,26,December,2019,['Academic holiday']
48,12_27_2019,27,December,2019,['Academic holiday']
49,12_28_2019,28,December,2019,['Academic holiday']
50,12_29_2019,29,December,2019,['Academic holiday']
51,12_30_2019,30,December,2019,['Academic holiday']
52,12_31_2019,31,December,2019,['Academic holiday']
53,1_1_2019,1,January,2019,['Academic holiday']
54,1_2_2019,2,January,2019,['Academic holiday']
55,1_3_2019,3,January,2019,['Academic holiday']
56,1_4_2019,4,January,2019,['Academic holiday']
57,1_5_2019,5,January,2019,['Academic holiday']
58,1_6_2019,6,January,2019,['Academic holiday']
59,1_7_2019,7,January,2019,['Beginning of winter term - classes begin']
60,1_18_2019,18,January,2019,['End of second week of instruction']
61,1_21_2019,21,January,2019,"[""Academic holiday - Martin Luther King, Jr.'s Birthday observed""]"
62,1_28_2019,28,January,2019,['End of third week of instruction - Census date']
