,DEPARTMENT,COURSE_NAME,UNITS,PREREQUISITES,COREQUISITES,CONCURRENT,RECOMMENDED,TERMS_TYPICALLY_OFFERED,GE_AREAS
0,CSC,CSC 101. Fundamentals of Computer Science.,4,"Appropriate,Math,Placement,Level;,or,MATH,117,with,a,grade,of,C-,or,better;,or,MATH,118,with,a,grade,of,C-,or,better;,or,consent,of,instructor.",,,,"F,,W,,SP",
1,CSC,CSC 105. Fundamentals of Computer Science I Supplemental Instruction.,1,,,"CPE/CSC,101.",,TBD,
2,CSC,CSC 108. Accelerated Introduction to Computer Science.,4,"MATH,118,(or,equivalent),with,a,grade,of,C-,or,better,,significant,experience,in,computer,programming,,and,consent,of,instructor.",,,,TBD,
3,CSC,CSC 123. Introduction to Computing.,4,"Basic,computer,literacy.",,,,F,
4,CSC,CSC 171. Introduction to Interactive Entertainment.,4,,,,,TBD,
5,CSC,CSC 200. Special Problems for Undergraduates.,1-2,"Consent,of,instructor.",,,,"F,,W,,SP",
6,CSC,CSC 202. Data Structures.,4,"CPE/CSC,101,with,a,grade,of,C-,or,better;,MATH,141,or,MATH,221,with,a,grade,of,C-,or,better;,or,consent,of,instructor.",,,,"F,,W,,SP",
7,CSC,CSC 203. Project-Based Object-Oriented Programming and Design.,4,"CPE/CSC,202,with,a,grade,of,C-,or,better,or,consent,of,instructor.",,,,"F,,W,,SP",
8,CSC,CSC 209. Problem Solving with Computers.,1,"CSC/CPE,101,or,CSC/CPE,108,with,a,grade,of,C-,or,better,,or,consent,of,instructor.",,,,TBD,
9,CSC,CSC 225. Introduction to Computer Organization.,4,"CSC/CPE,202.",,,,"F,,W,,SP",
10,CSC,CSC 231. Programming for Engineering Students.,2,"MATH,142;,PHYS,121,or,PHYS,131,or,PHYS,141.",,,,"F,,W,,SP",
11,CSC,CSC 232. Computer Programming for Scientists and Engineers.,3,"MATH,118,or,equivalent.",,,,"F,,W,,SP",
12,CSC,CSC 234. C and Unix.,3,"MATH,142.",,,,W,
13,CSC,CSC 235. Fundamentals of Computer Science for Scientists and Engineers I.,4,"MATH,141,or,MATH,161,with,a,grade,of,C-,or,better,,or,consent,of,instructor.",,,,TBD,
14,CSC,CSC 236. Fundamentals of Computer Science for Scientists and Engineers II.,4,"CSC,235,with,a,grade,of,C-,or,better,,or,consent,of,instructor.",,,,TBD,
15,CSC,CSC 290. Selected Topics.,1-4,"Open,to,undergraduate,students,and,consent,of,instructor.",,,,TBD,
16,CSC,CSC 300. Professional Responsibilities.,4,"CSC/CPE,357,and,junior,standing.",,,,"F,,W,,SP",
17,CSC,CSC 301. Personal Software Process.,4,"CSC/CPE,102,and,CSC/CPE,103,,or,CSC/CPE,202,and,CSC/CPE,203.",,,,TBD,
18,CSC,CSC 302. Computers and Society.,4,"Junior,standing;,completion,of,GE,Area,A,with,grades,of,C-,or,better;,completion,of,GE,Area,B1,with,a,grade,of,C-,or,better,in,at,least,one,of,the,courses;,and,completion,of,GE,Areas,B2,,B3,,and,B4.",,,,F,"B7,F"
19,CSC,CSC 303. Teaching Computer Science.,2,"CSC/CPE,102,and,CSC/CPE,103,,with,a,grade,of,C-,or,better,or,consent,of,instructor,,or,CSC/CPE,202,and,CSC/CPE,203,,with,a,grade,of,C-,or,better,or,consent,of,instructor.",,,,TBD,
20,CSC,CSC 305. Individual Software Design and Development.,4,"CSC/CPE,357.",,,,W,
21,CSC,CSC 307. Introduction to Software Engineering.,4,"CSC,141,or,CSC,348;,and,CPE/CSC,357.",,,,"F,,SP",
22,CSC,CSC 308. Software Engineering I.,4,"CSC,141,or,CSC,348.",,,,"F,,W",
23,CSC,CSC 309. Software Engineering II.,4,"CSC,308,and,CSC/CPE,357.",,,,"W,,SP",
24,CSC,CSC 310. Computers for Poets.,4,"Junior,standing;,completion,of,GE,Area,A,with,grades,of,C-,or,better;,completion,of,GE,Area,B1,with,a,grade,of,C-,or,better,in,at,least,one,of,the,courses;,and,completion,of,GE,Areas,B2,,B3,,and,B4.",,,,TBD,"B7,F"
25,CSC,CSC 311. Computational Art.,4,"Junior,standing;,completion,of,GE,Area,A,with,grades,of,C-,or,better;,completion,of,GE,Area,B1,with,a,grade,of,C-,or,better,in,at,least,one,of,the,courses;,and,completion,of,GE,Areas,B2,,B3,,and,B4.",,,,TBD,"B7,F"
26,CSC,CSC 313. Teaching Computing.,4,"CPE/CSC,202.",,,,SP,
27,CSC,CSC 320. Practical Computer Security for Everyone.,4,"Junior,standing;,completion,of,GE,Area,A,with,grades,of,C-,or,better;,completion,of,GE,Area,B1,with,a,grade,of,C-,or,better,in,at,least,one,of,the,courses;,and,completion,of,GE,Areas,B2,,B3,,and,B4.",,,,TBD,"B7,F"
28,CSC,CSC 321. Introduction to Computer Security.,4,"CPE/CSC,357.",,,,TBD,
29,CSC,CSC 323. Cryptography Engineering.,4,"CPE/CSC,357.",,,,W,
30,CSC,CSC 325. Introduction to Privacy: Policy and Technology.,4,"CSC,300.",,,,W,
31,CSC,CSC 344. Music Programming.,4,"CSC,141,or,CSC,348;,and,CPE/CSC,357.",,,,TBD,
32,CSC,CSC 348. Discrete Structures.,4,"CSC/CPE,102,and,CSC/CPE,103,,with,a,grade,of,C-,or,better,or,consent,of,instructor,,or,CSC/CPE,202,and,CSC/CPE,203,,with,a,grade,of,C-,or,better,or,consent,of,instructor.",,,,"F,,W,,SP",
33,CSC,CSC 349. Design and  Analysis of Algorithms.,4,"CSC,141,and,MATH,142;,or,CSC,348,and,MATH,142;,or,CPE/CSC,102,and,CPE/,CSC,103,and,MATH,248;,or,CPE/CSC,202,and,CPE/,CSC,203,and,MATH,248.",,,,"F,,SP",
34,CSC,CSC 350. Computing for Interactive Arts Capstone I.,2,"ART,384;,CSC/CPE,103,or,CSC/CPE,202;,and,junior,standing.",,,,TBD,
35,CSC,CSC 357. Systems Programming.,4,"CSC/CPE,102,and,CSC/CPE,103,with,a,grade,of,C-,or,better,or,consent,of,instructor,,or,CSC/CPE,202,and,CSC/CPE,203,with,a,grade,of,C-,or,better,or,consent,of,instructor;,and,CSC,225,or,CPE/EE,229,or,CPE/EE,233.",,,,"F,,W,,SP",
36,CSC,CSC 365. Introduction to Database Systems.,4,"CSC,141;,or,CSC,348;,or,CPE/CSC,102,and,CPE/CSC,103,and,MATH,248;,or,CPE/CSC,202,and,CPE/CSC,203,and,MATH,248.",,,,"F,,W,,SP",
37,CSC,"CSC 366. Database Modeling, Design and Implementation.",4,"CSC,365.",,,,SP,
38,CSC,CSC 369. Introduction to Distributed Computing.,4,"CSC/CPE,102,and,CSC/CPE,103,,or,CSC/CPE,202,and,CSC/CPE,203;,and,one,of,the,STAT,301,,STAT,312,,STAT,321,or,STAT,350.",,,,"F,,W",
39,CSC,CSC 371. Game Design.,4,"CSC/CPE,102,and,CSC/CPE,103;,or,CSC/CPE,202,and,junior,standing.",,,,"W,,SP",
40,CSC,CSC 377. Introduction to Mixed Reality.,4,"CPE/CSC,202.",,,"ART,376.","SP,",
41,CSC,CSC 378. Interactive Entertainment Engineering.,4,"CPE/CSC,102,and,CPE/CSC,103,,or,CPE/CSC,202,and,junior,standing.",,,,W,
42,CSC,CSC 400. Special Problems.,1-4,"Consent,of,instructor.",,,,"F,,W,,SP",
43,CSC,CSC 402. Software Requirements Engineering.,4,"CSC,307,or,CSC,309.",,,,F,
44,CSC,CSC 405. Software Construction.,4,"CSC,305,and,CSC,402.",,,,W,
45,CSC,CSC 406. Senior Project - Software Deployment.,4,"CSC,405.",,,,SP,
46,CSC,CSC 409. Current Topics in Software Engineering.,4,"CSC,307,or,CSC,309.",,,,TBD,
47,CSC,CSC 410. Software Evaluation.,4,"CSC,349;,STAT,301,,STAT,312,,STAT,321,or,STAT,350.",,,,TBD,
