,BUILDING_NUMBER,NAME,LONGITUDE,LATITUDE
0,1,Administration,-120.65856130589458,35.30095954867921
1,2,Cotchett Education,-120.6643634938193,35.30024513427173
2,3,Business,-120.6648709060625,35.299888687894345
3,4,Research Center,-120.66474370426991,35.30556023219192
4,5,Architecture & E Des,-120.6643958143919,35.30077784560283
5,6,Cohan Center (PAC),-120.6571425751745,35.29948439714564
6,7,Advanced Tech Labs,-120.6650886071505,35.30222418301268
7,8,Ag Engineering,-120.66162139280908,35.30308289530644
8,8A,Ag Engineering Shop,-120.66241199779829,35.30381866254739
9,9,Farm Shop,-120.66231964299891,35.3044057723756
10,10,Erhart Agriculture,-120.66158534443942,35.3023555109853
11,11,Agricultural Sciences,-120.6629159261178,35.302852800523546
12,13,Engineering,-120.66500136651291,35.30151591571437
13,14,Pilling Building,-120.6622243689393,35.30015407873665
14,15,Corporation Admin,-120.660308856898,35.30316809859638
15,16,Beef Unit,-120.66221447430979,35.30690606896543
16,17,Crops Unit,-120.6683058165017,35.30269982314607
17,18,Dairy Science,-120.67252053495821,35.30720343697369
18,18A,Creamery - Leprino Institute,-120.67161251670929,35.307518511705716
19,19,Dining Complex,-120.65975535462549,35.299591753558225
20,20,Engineering East,-120.66140849658159,35.300421432534776
21,21,Engineering West,-120.66306690948191,35.29968622837887
22,22,English,-120.6609209965511,35.30223605466888
23,24,Food Processing,-120.6630336226227,35.30363240527097
24,25,Faculty Offices East,-120.6592407926141,35.30113814413886
25,26,Graphic Arts,-120.661744216589,35.299188891506404
26,26A,Press,-120.6612141398184,35.299396669976346
27,27,Health Center,-120.66122226257721,35.29784043483917
28,28,Smith Alumni Ctr,-120.6620589219532,35.2976069236916
29,31,Housing,-120.65757390992529,35.30228402543338
30,32,Equine Center,-120.6644223721273,35.30984863457695
31,33,Fisher Science,-120.65913165109569,35.30220222435624
32,34,Dexter Building,-120.6633853921522,35.301101248469024
33,35,Kennedy Library,-120.6637578300697,35.30178838792597
34,36,University Police,-120.6618167630879,35.303954302729075
35,38,Math and Science,-120.6621468880645,35.301316705106245
36,40,Engineering South,-120.6606931346353,35.2993168470702
37,41,Engineering III,-120.665777657824,35.3022903857737
38,41A,Brown Engineering,-120.6657557501674,35.30269516151112
39,41B,Reinhold Aerospace,-120.6659521970755,35.30204786635579
40,42,Mott PE,-120.6586338805748,35.29875007733218
41,42A,Anderson Pool,-120.65879148045241,35.29827113825272
42,43,Recreation Center,-120.66033278925909,35.29840074088587
43,43A,Kinesiology,-120.6597779307385,35.298849346609074
44,44,Spanos Theatre,-120.6578279602721,35.299822135442994
45,45,Davidson Music Ctr,-120.65791188665341,35.29914869215871
46,46,Old Natatorium,-120.66411883302358,35.29898422541713
47,47,Faculty Offices North,-120.66014212833859,35.30247563579721
48,48,EHS,-120.66322268679849,35.30931340732546
49,48X,Arboretum,-120.6623354659215,35.31038861168171
50,50J,Mount Bishop Warehouse,-120.6715109390434,35.30456726822411
51,50K,,-120.67128668666581,35.304203985536155
52,50L,Rose Float Lab,-120.6711206408732,35.30391124876875
53,51,University House,-120.6624664038043,35.29817030367621
54,52,Science,-120.6602183859185,35.300748141156724
55,53,Science North,-120.6598351373732,35.3020213237669
56,55,BCEC,-120.6794166816965,35.30986246097115
57,56,Swine Unit,-120.67281431855,35.31209740007364
58,57,Veterinary Hospital,-120.6704195734685,35.30613379278971
59,58,Welding,-120.6614518738666,35.30365144546467
60,60,Crandall Gym,-120.6641157279546,35.29951966904657
61,61,Spanos Stadium,-120.6650233847133,35.29846984376748
62,65,McPhee Union,-120.6589266289937,35.30021132849536
63,70,Facilities,-120.65964337364109,35.303904962691504
64,71,Transportation,-120.6587543863658,35.30405368359739
65,74,Building 74,-120.6609974229982,35.303122277738034
66,76,Old Power Plant,-120.6635277866695,35.299077795255215
67,77,Rodeo Arena,-120.6706745372171,35.30906474567139
68,80,Risk Management,-120.6608129262788,35.30357832409021
69,81,Hillcrest,-120.6581749859729,35.30203336146882
70,82,Corp Warehouse,-120.6708575476911,35.30522781712464
71,83,Tech Park,-120.671941715144,35.305553685916564
72,100,Shasta,-120.6587215814325,35.30287566091523
73,101,Diablo,-120.6581933218737,35.30318063968055
74,102,Palomar,-120.6576048437818,35.303011193900595
75,103,Whitney,-120.65796271660129,35.302507063356344
76,104,Lassen,-120.6584528365431,35.302590238200146
77,105,Trinity,-120.65713824176649,35.30187068937769
78,106,Santa Lucia,-120.6577747953308,35.301586865676434
79,107,Muir,-120.65673953241979,35.30094461262802
80,108,Sequoia,-120.65741241063259,35.30070689795114
81,109,Fremont,-120.65581993270321,35.30032995897132
82,110,Tenaya,-120.656489378833,35.299934353730976
83,112,Vista Grande,-120.6558126423973,35.29930820804158
84,113,Sierra Madre,-120.654950293726,35.29880926198844
85,114,Yosemite,-120.653669934284,35.29774912067444
86,115,Chase,-120.6636749917167,35.29794156897099
87,116,Jespersen,-120.66438495784772,35.297735043965794
88,117,Heron,-120.66424055121391,35.29725118358008
89,117T,CAD Center,-120.6645315069289,35.29706416657083
90,121,Cheda Ranch,-120.6834861898394,35.31208946351911
91,122,Parker Ranch,-120.67866063250959,35.30706563436444
92,123,Peterson Ranch,-120.65100819292151,35.31426729512716
93,124,Student Services,-120.66401180022221,35.298550329624916
